Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,MACD,MACD_signal,MACD_diff,bollinger_mavg,bollinger_hband,bollinger_lband
3/24/2000,152.875,155.75,151.71875,153.5625,99.78157806396484,11462900,142.3164063,71.00260294735145,3.1844247226046605,1.576594232,1.6078304908739904,142.3164063,153.36120969349793,131.27160280650207
3/27/2000,153.375,153.78125,151.8125,151.9375,98.72568512,8798600,143.1070313,66.58781370578734,3.3773889559853387,1.936753176581604,1.4406357794037348,143.1070313,154.52341063497815,131.69065186502186
3/28/2000,151.25,152.984375,150.59375,151.0625,98.15716552734375,6334400,143.7882813,64.27049008747058,3.420282427084345,2.2334590266821523,1.1868234004021927,143.7882813,155.39459382976685,132.18196867023318
3/29/2000,151.5625,152.484375,149.65625,151.21875,98.25862121582031,6747500,144.4273438,64.50802027591422,3.4273752329073943,2.472242267927201,0.9551329649801934,144.4273438,156.19123296043992,132.6634545395601
3/30/2000,150.15625,151.921875,147.125,148.6875,96.61391449,9491900,144.9351563,57.80380599573096,3.191950790370953,2.6161839724159517,0.5757668179550013,144.9351563,156.51248742639834,133.35782507360167
3/31/2000,149.625,152.3125,148.4375,150.375,97.71041107177734,9249100,145.3976563,60.73367280807957,3.1057413178381523,2.714095441500392,0.39164587633776016,145.3976563,157.0678702173189,133.72744228268112
4/3/2000,150.125,151.25,148.6875,151.25,98.27898406982422,8508200,145.9726563,62.19929961409816,3.072605790151954,2.7857975112307045,0.2868082789212494,145.9726563,157.6063218500164,134.3389906499836
4/4/2000,151.75,153,141.390625,150.125,97.54796600341797,19585500,146.6265625,59.142734367627575,2.9218858662934792,2.8130151822432596,0.1088706840502196,146.6265625,157.63320955061954,135.61991544938047
4/5/2000,147.875,150.8125,147.625,149.1875,96.93885040283203,8387200,147.2421875,56.64463121533526,2.6957162864466113,2.7895554030839302,-0.093839117,147.2421875,157.3378988999912,137.1464761000088
4/6/2000,150.25,151.6875,149,150.484375,97.78148651123047,6378500,147.7226563,59.211247336794436,2.5912519001113594,2.7498947024894163,-0.158642802,147.7226563,157.4691493843538,137.9761631156462
4/7/2000,151.5625,152.125,150.5,151.4375,98.40084838867188,6023600,148.2882813,61.03685907064012,2.5559094105311715,2.7110976440977677,-0.155188234,148.2882813,157.50400360770243,139.0725588922976
4/10/2000,151.75,153.109375,150.3125,150.84375,98.01502990722656,9624200,148.9007813,59.25755502082026,2.451727580683098,2.659223631414834,-0.207496051,148.9007813,157.02101588018505,140.78054661981494
4/11/2000,150,151.625,148.375,150.40625,97.73074340820312,9006400,149.5898438,57.91778862670253,2.307263439569283,2.588831593045724,-0.281568153,149.5898438,155.45101326687177,143.72867423312823
4/12/2000,150.375,151.15625,146.15625,146.28125,95.05038452148438,10779200,149.9132813,47.10408419230389,1.8387258539152072,2.4388104452196204,-0.600084591,149.9132813,154.03698458550522,145.7895779144948
4/13/2000,147.46875,148.15625,143.78125,144.25,93.73051452636719,12225800,149.8085938,42.86040182175407,1.2886468240846227,2.2087777209926207,-0.920130897,149.8085938,154.37229088532862,145.24489661467138
4/14/2000,142.625,142.8125,133.5,136,88.36986541748047,29604000,149.2617188,30.74507535477086,0.18486813320217266,1.8039958034345311,-1.61912767,149.2617188,156.75290416265375,141.77053333734625
4/17/2000,135.1875,140.75,134.6875,140.75,91.45628356933594,23918200,148.9898438,41.07309103,-0.303105122,1.3825756183763869,-1.68568074,148.9898438,157.26159700160915,140.71809049839086
4/18/2000,140.5625,144.46875,139.78125,144.46875,93.87269592285156,11069200,148.7539063,47.65469866263715,-0.385313739,1.0289977468805156,-1.414311486,148.7539063,157.25564018964468,140.25217231035532
4/19/2000,144.5,145.125,142.53125,143.125,92.99951172,6553700,148.4054688,45.669733090710494,-0.552524892,0.7126932190362613,-1.265218111,148.4054688,157.22429668086792,139.5866408191321
4/20/2000,143.5625,143.9375,142.375,143.8125,93.44625091552734,8537600,147.9632813,46.88864834910311,-0.622390897,0.4456763958656896,-1.068067293,147.9632813,156.7720752125272,139.1544872874728
4/24/2000,141.5,143.3125,140.5,142.25,92.43095397949219,12893100,147.3976563,44.44794302119449,-0.79468032,0.19760505263203093,-0.992285373,147.3976563,156.1482671382755,138.64704536172454
4/25/2000,144.625,148.15625,144.4375,148.15625,96.26873016357422,14102000,147.2085938,54.161061216600665,-0.449454879,0.068193066,-0.517647945,147.2085938,155.7187799432043,138.6984075567957
4/26/2000,147.96875,148.75,146,146.484375,95.18235778808594,7711100,146.9796875,51.42030841133371,-0.307226059,-0.006890759,-0.3003353,146.9796875,155.3072356,138.6521394
4/27/2000,143,147.34375,143,146,94.86760711669922,15595300,146.71875,50.6210695,-0.230931673,-0.051698942,-0.179232731,146.71875,154.82268302469774,138.61481697530226
4/28/2000,147,147.859375,145.0625,145.09375,94.27878571,8743400,146.5390625,49.08386489991217,-0.240818615,-0.089522876,-0.151295739,146.5390625,154.61974995625405,138.45837504374595
5/1/2000,146.5625,148.484375,145.84375,147.0625,95.55799102783203,7328300,146.3734375,52.46121202247999,-0.088769142,-0.089372129,0.000602987,146.3734375,154.26645322693614,138.48042177306385
5/2/2000,145.5,147.125,144.125,144.125,93.64933013916016,9411900,146.0171875,47.40824845331828,-0.202960932,-0.11208989,-0.090871042,146.0171875,153.63604324680747,138.39833175319254
5/3/2000,144,144,139.78125,140.75,91.45628356933594,12630700,145.5484375,42.35996195598276,-0.559345258,-0.201540964,-0.357804295,145.5484375,153.25180590386472,137.8450690961353
5/4/2000,142,142.359375,140.75,141.8125,92.14669036865234,5963600,145.1796875,44.368368934583344,-0.747431608,-0.310719092,-0.436712515,145.1796875,152.85698319188666,137.50239180811334
5/5/2000,141.0625,144,140.9375,143.53125,93.26351165771484,7862400,144.8320313,47.552014629648454,-0.749166706,-0.398408615,-0.350758091,144.8320313,152.13770965872806,137.52635284127194
5/8/2000,142.75,143.375,141.84375,142.453125,92.56293487548828,5064100,144.3828125,45.78214937556869,-0.827992875,-0.484325467,-0.343667408,144.3828125,151.08886518232822,137.67675981767178
5/9/2000,143.0625,143.40625,140.265625,141.3125,91.82182312011719,5620300,143.90625,43.919680981408995,-0.971305482,-0.58172147,-0.389584012,143.90625,150.03807814552775,137.77442185447225
5/10/2000,140.5,140.96875,137.75,138.125,89.75062561035156,10293900,143.2921875,39.12913540745346,-1.326791935,-0.730735563,-0.596056372,143.2921875,149.15099247227562,137.4333825277244
5/11/2000,140.125,141.5,139.125,141.28125,91.80149078,7091100,143.0421875,45.47155274386577,-1.338406199,-0.85226969,-0.486136509,143.0421875,148.79522762702516,137.28914737297487
5/12/2000,141.8125,143.46875,141.625,142.8125,92.79643249511719,5960800,142.9703125,48.28673608690463,-1.210102205,-0.923836193,-0.286266012,142.9703125,148.69705640060891,137.2435685993911
5/15/2000,142.75,145.609375,142,145.28125,94.40059661865234,4441300,143.434375,52.54094069425725,-0.898851472,-0.918839249,0.019987777,143.434375,148.25985060803973,138.60889939196025
5/16/2000,146.5625,147.71875,145.3125,146.6875,95.31433105,8192200,143.73125,54.820885056214294,-0.532571251,-0.841585649,0.3090143984671737,143.73125,148.59006327139522,138.87243672860475
5/17/2000,145.6875,146.1875,144.46875,145.15625,94.31938934326172,5907200,143.765625,51.89728468366816,-0.361681377,-0.745604795,0.38392341785726425,143.765625,148.65445753893877,138.87679246106123
5/18/2000,145.625,146.3125,143.375,143.375,93.16197967529297,4325600,143.778125,48.64720984667158,-0.365765591,-0.669636954,0.30387136293172967,143.778125,148.66161720269534,138.89463279730464
5/19/2000,142.5625,143.234375,140.40625,141.125,91.69996643066406,6518400,143.64375,44.82826829056888,-0.544284385,-0.64456644,0.10028205550150893,143.64375,148.6621010893805,138.6253989106195
5/22/2000,141.25,141.46875,137,140.0625,91.00959014892578,10839400,143.534375,43.107322355477734,-0.7627047,-0.668194092,-0.094510608,143.534375,148.76051684593057,138.30823315406946
